business_id,subsector
12009,Miscellaneous
12011,Miscellaneous
12015,Miscellaneous
12035,Restaurants
12037,Specialty Food
12048,Miscellaneous
12067,Repair & Maintenance
12071,Miscellaneous
12074,Business Services
12077,Plumbing & HVAC
12088,Home & Garden
12090,Miscellaneous
12112,Miscellaneous
12134,Financial Services
12151,Miscellaneous
12167,Fast Food
12171,Miscellaneous
12209,Specialized Healthcare
12212,Restaurants
12246,Specialty Retail
12254,Miscellaneous
12267,Medical Offices
12275,Miscellaneous
12288,Sports & Recreation
12299,Automotive Retail
12344,Miscellaneous
12356,Bars & Nightlife
12359,Miscellaneous
12362,Bars & Nightlife
12365,Miscellaneous
12376,Restaurants
12390,Miscellaneous
12392,Miscellaneous
12426,Financial Services
12432,Bars & Nightlife
12433,Clothing & Apparel
12434,Miscellaneous
12438,Restaurants
12439,Financial Services
12455,Miscellaneous
12458,Miscellaneous
12466,Miscellaneous
12477,Miscellaneous
12484,Automotive Retail
12512,Restaurants
12540,Coffee & Tea
12550,Miscellaneous
12582,Landscaping
12583,Automotive Retail
12615,Medical Offices
12644,Restaurants
12646,Medical Offices
12661,Specialty Food
12663,Miscellaneous
12680,Telecommunications
12681,Miscellaneous
12703,Miscellaneous
12705,Real Estate
12710,Health & Beauty
12716,Tutoring
12722,Restaurants
12733,Legal Services
12737,Miscellaneous
12765,Construction & Contractors
12785,Miscellaneous
12786,Miscellaneous
12787,Car Wash & Detailing
12791,Miscellaneous
12802,Miscellaneous
12807,Coffee & Tea
12819,Restaurants
12836,Clothing & Apparel
12839,Fitness & Recreation
12848,Restaurants
12889,Health & Beauty
12902,Construction & Contractors
12909,Business Services
12949,Financial Services
12968,Health & Beauty
12991,Restaurants
13014,Automotive Retail
13047,Miscellaneous
13078,Bars & Nightlife
13080,Miscellaneous
13102,Health & Beauty
13117,Cleaning Services
13122,Restaurants
13165,Health & Beauty
13185,Miscellaneous
13204,Health & Beauty
13210,Bars & Nightlife
13220,Automotive Retail
13225,Miscellaneous
13231,Miscellaneous
13234,Business Services
13238,Miscellaneous
13274,Repair & Maintenance
13310,Health & Beauty
13317,Health & Beauty
13320,Clothing & Apparel
13324,Bars & Nightlife
13390,Restaurants
13399,Miscellaneous
13410,Miscellaneous
13500,Miscellaneous
13563,Miscellaneous
13571,Miscellaneous
13574,Miscellaneous
13596,Miscellaneous
13605,Car Wash & Detailing
13628,Specialty Food
13649,Pet Services
13655,Fitness & Recreation
13656,Fast Food
13715,Miscellaneous
13720,Restaurants
13732,Clothing & Apparel
13765,Restaurants
13768,Automotive Retail
13797,Sports & Recreation
13800,Miscellaneous
13820,Travel Services
13822,Miscellaneous
13826,Medical Offices
13847,Miscellaneous
13850,Clothing & Apparel
13853,Health & Beauty
13854,Repair & Maintenance
13882,Business Services
13917,Restaurants
13923,Telecommunications
13935,Health & Beauty
13957,Miscellaneous
13962,Coffee & Tea
13968,Miscellaneous
14006,Clothing & Apparel
14013,Automotive Retail
14015,Automotive Retail
14051,Health & Beauty
14096,Miscellaneous
14098,Childcare
14100,Business Services
14126,Specialty Food
14159,Miscellaneous
14160,Miscellaneous
14206,Pharmacy
14209,Restaurants
14229,Restaurants
14243,Medical Offices
14254,Miscellaneous
14261,Miscellaneous
14263,Miscellaneous
14289,Miscellaneous
14290,Restaurants
14304,Bakery & Desserts
14323,Hotels & Motels
14330,Specialty Food
14337,Miscellaneous
14342,Telecommunications
14369,Miscellaneous
14423,IT Services
14431,Miscellaneous
14442,Cleaning Services
14450,Miscellaneous
14458,Coffee & Tea
14462,Miscellaneous
14465,Miscellaneous
14469,Miscellaneous
14473,Miscellaneous
14487,Automotive Retail
14502,Car Wash & Detailing
14508,Bars & Nightlife
14509,Specialty Food
14514,Miscellaneous
14519,Restaurants
14521,Hotels & Motels
14531,Miscellaneous
14547,Telecommunications
14585,Arts & Entertainment
14586,Restaurants
14590,Miscellaneous
14607,Miscellaneous
14608,Coffee & Tea
14610,Bars & Nightlife
14621,Miscellaneous
14654,Home & Garden
14682,Miscellaneous
14684,Restaurants
14694,Automotive Retail
14696,Arts & Entertainment
14726,Miscellaneous
14730,Miscellaneous
14785,Miscellaneous
14801,Miscellaneous
14823,Miscellaneous
14824,Miscellaneous
14875,Miscellaneous
14876,Miscellaneous
14912,Events & Venues
14914,Coffee & Tea
14929,Restaurants
14940,Repair & Maintenance
14941,Repair & Maintenance
14942,Repair & Maintenance
14947,Fitness & Recreation
